""ID","Labels","Properties"
"471","[""__Entity__"",""Height""]","{""id"":""15 meters""}"
"472","[""__Entity__"",""Climbing Spot""]","{""id"":""Portafortuna (The Luckbringer)""}"
"473","[""__Entity__"",""Climbing Spot""]","{""id"":""Belove Stene""}"
"474","[""__Entity__"",""Location"",""Peak""]","{""id"":""Obzova peak""}"
"475","[""__Entity__"",""Climbing Spot""]","{""id"":""Bag""}"
"476","[""__Entity__"",""View""]","{""id"":""superb view of Prvić island and Vela Plaža""}"
"477","[""__Entity__"",""Route""]","{""id"":""ten routes""}"
"478","[""__Entity__"",""Route""]","{""id"":""routes for all skill levels""}"
"479","[""__Entity__"",""Location""]","{""id"":""nudist camp""}"
"480","[""__Entity__"",""Location""]","{""id"":""Draga Baščanska and Punat""}"
"481","[""__Entity__"",""Height""]","{""id"":""30 meters""}"
"482","[""__Entity__"",""Location""]","{""id"":""Vela Plaža beach""}"
"483","[""Document""]","{""section"":""Zip line"",""id"":""fbd4355307e46be8d8f4877016e948fc"",""text"":""Time to discover some of the nicest Krk landscapes from a completely different perspective, whooshing above the treeline at a speed of up to 80 kilometres per hour. The famous canopy tour has all the makings of an unforgettable adventure. Best of all, no family member needs to be excluded, from youngest to the eldest. Lasting just short of two hours, it will take you on a jeep ride to the starting point, just off the A letter monolith Glagolitic path, and then across the lines strewn above the landscape."",""embedding"":[0.026865616,0.0123097785,0.008443376,0.029688317,0.03371131,-0.009473082,-0.0124262385,0.016964318,0.04242081,0.0146357985,0.018060962,-0.022119721,0.016405636,-0.043009583,-0.018237578,0.011609096,-0.074472494,-0.017538974,-0.027475147,0.029140536,0.012067311,0.016646603,-0.065271094,-0.0018099884,-0.034380045,-4.6607893E-4,0.015740097,0.017720437,0.050223537,0.08268827,0.010495081,-0.02421974,0.022228409,-0.057045836,-0.008575894,-0.029390037,0.013705506,-0.029024566,-0.013860949,-0.038884193,-0.0032898474,-0.026393425,0.0038940911,0.010611359,0.005745216,-0.010994259,0.0031757508,-0.034990054,0.015292381,-0.013190823,0.023032548,0.0031014534,0.03884167,-0.027733957,-0.0048300414,0.024348184,-0.012273709,-4.946524E-4,-0.003168623,0.029482754,0.010670405,0.021988263,0.037596375,-0.04626066,0.017842812,0.0017457411,0.01843196,0.060092315,-0.014764218,-0.0651122,-0.036977757,0.06580135,-0.0011638505,-0.06267808,-0.035560224,0.019510841,-0.01198145,0.021963118,0.014850356,0.055451225,0.02677283,0.0042177513,0.029336158,0.011059647,-0.07331,0.003969301,-0.026901944,0.011525814,0.009253185,0.026630167,0.013167873,0.033205435,-0.0011886351,-0.014543277,0.01868256,8.93003E-4,-0.04180636,0.022941032,-0.047477923,-0.00641406,0.03567151,-0.0056314203,0.00780956,0.042506892,-0.054743852,0.01675445,-0.035319816,-0.060680676,0.027438525,-0.021328272,9.030464E-4,0.031157779,0.029234866,-0.022721991,0.018784683,0.0041271164,0.008700756,0.025264554,-0.03157548,-0.0013067013,0.020830452,0.0036612225,0.0054674824,-0.0034681226,0.02242077,-0.0389471,-0.0023322152,0.033542823,-0.028085362,-0.0073170736,0.0027612224,-0.02403948,0.028869143,0.012532238,-0.010823238,-0.0056701484,0.012483957,-0.017122138,-8.653908E-4,-0.02096428,0.016100945,0.007674334,0.0026349633,0.10553798,0.018496629,0.0036541712,0.020581244,0.0035499022,-0.061621755,-0.010782447,0.009532473,0.020074865,-0.004571803,0.034988087,0.02315623,-0.012128751,-0.06980434,0.034169793,-0.009061223,0.001659915,0.00938683,0.009940194,-0.029254315,0.043424137,0.01710068,0.024669815,-0.025191054,-0.026589233,0.011328115,-0.034363642,-0.013703261,-0.008185767,-0.046138402,-0.027862342,0.031237135,1.0029029E-4,0.03960794,-0.0016103187,0.023307718,-3.9761777E-5,0.003654207,0.020609919,0.020956809,0.028030781,-0.02579355,-0.027625237,-0.030070813,0.0277533,-0.028943958,-0.012420012,-0.004267034,-0.003432372,0.018950412,0.010605851,-0.026679091,0.026394347,-0.032726754,0.004915373,-0.054308303,-0.0054219565,5.755906E-4,0.017097503,-0.004936241,0.06528771,0.0017238612,-0.0015886545,0.0031745506,0.04970444,0.024973543,-0.012190576,0.057687476,0.010305855,-0.032338794,0.028026307,0.046438362,-0.028776094,-0.008920978,0.0070514227,-0.038043886,-0.039392527,0.026328206,0.0028629988,-0.0020973468,-0.014687985,0.0067199734,0.018951505,-0.00939349,0.00865221,-3.595808E-4,0.0393931,-0.0123178875,0.0068643508,0.03869905,0.05986995,0.016726129,0.031229898,0.024389101,-0.0029472183,0.033611633,-0.02799838,0.06060675,0.023700196,0.07831661,-0.046442926,0.03718859,0.058308735,0.0038815944,-0.007994465,0.007199871,0.048267044,0.006102802,0.023603013,-0.023372252,-0.01745629,-0.03878831,9.167124E-4,0.024564216,0.03474392,-0.019901462,-0.016951844,-0.015151965,0.005722551,0.006530643,-0.025191355,-0.010403216,0.057003453,-0.041325975,0.009960828,0.00854855,-0.0866821,-0.05396328,-0.04174119,-0.036219988,-0.03694316,-0.0726748,0.0031253763,0.06462926,0.006157064,0.005552648,-0.03730847,0.026400993,-0.017826956,-0.027465401,-0.0077836113,-0.009241764,0.02837218,-0.009831349,0.033635512,-0.024667338,-0.013497192,-0.041342594,0.042835824,-0.04254993,-0.00296322,-0.021763887,-0.04093541,0.024630414,0.034363598,-0.04086924,-0.010622379,0.025427759,-0.019152785,-0.00940816,0.0044816374,0.028175501,0.0024101827,-0.022567062,-0.031781375,0.011549548,0.028285602,0.0091069285,0.009663247,0.0127012525,-0.012642586,-0.029766485,0.048586868,0.049141657,-0.0037065381,0.0089135775,-0.019786257,-0.021849046,0.005271877,0.009405518,0.017038068,0.036259543,0.047721867,-0.022802083,-0.0653744,0.030844249,-0.0038318723,-0.049219646,-0.038356066,-0.048197556,0.03447695,0.0585973,-0.0032787716,-0.010302068,-0.015000191,-0.040331732,0.030719254,-0.026106577,0.027294977,-0.032160524,0.037848394,-0.013062548,0.02640483,0.001226827,0.01015246,-0.025246598,0.005111855,-0.044008452,-0.0121752955,0.028858822,0.0037087009,-0.002814952,0.008187649,-0.022772051,0.002482404,0.017998924,0.040286835,-7.0449425E-4,0.003696291,0.040497717,0.018104397,0.01104138,-0.0414142,0.017512497,0.050313856,0.009404557,-0.06381846,0.048889406,-0.0065308735,-0.021806229,0.020317482,-0.022942552,-0.060726073,0.022929503,0.03615647,0.030692287,0.0061629927,7.4215146E-4,-0.102139756,-0.013549616,0.015079941,0.019523744,-0.030078776,-0.007954311,-0.030670721,-0.009788855,-0.016571684,0.025064759,-0.010159345,0.008705553,-0.004955005,-0.016768655,-0.03519974,0.029773612,0.00856328,-0.0048580226,-0.019550892,-0.028144509,0.064162776,0.055617057,0.04580054,-0.029168615,0.05161785,-0.022195073,0.04384694,0.04052147,-0.013314429,-0.021673193,-4.090877E-4,-0.016166592,0.004014508,0.03310143,0.0021616886,-0.022858955,0.0050596106,-0.019659445,-0.0019899001,0.0062881405,-0.02814271,0.0060841246,0.02404808,0.03495769,-0.046771713,0.0019999465,-0.03300226,0.06422659,0.00484706,-0.02235798,-0.024441807,0.0365875,-0.010357865,-0.009504589,0.0055171195,0.051744156,-0.027077286,-0.03734567,-0.04375657,-0.01364113,0.039796133,0.01636436,0.014126185,-0.034279734,-0.040944688,0.019481532,-0.022336934,-0.03724701,-0.0067320378,-0.03191497,-0.06654332,0.002660984,-0.016103677,-0.012742745,0.008000694,-0.013263635,0.0275151,0.0175198,0.012138226,0.05685489,-0.008263074,-0.019636352,0.02783071,-0.014662225,-0.003871247,-0.019255992,-0.036917437,0.07121188,-0.009566204,-0.012855346,0.004010689,-0.01031159,-0.0031518207,0.007796421,-0.07073358,0.028766608,-0.012788116,-0.050678123,-0.0144952955,-0.024171453,0.024322577,0.00588471,0.0026671581,-0.022568863,-0.04618442,0.057997275,0.047968484,-0.023134476,0.027230075,0.009937032,0.020240754,8.316085E-4,-2.0208335E-4,0.0055923173,-0.0607755,-0.04046149,0.03281036,0.035683677,-0.023658747,0.011410143,0.016266283,0.011312342,0.0077612824,-0.015590668,-0.018411204,-0.0422094,0.005233961,-0.024615077,0.051668983,-0.011567901,-0.024850713,-0.003193239,0.00762217,-0.014090725,0.030046416,0.0019532628,-0.0035151963,0.062354762,0.0049497783,0.028300744,-0.07100202,0.024957735,0.03847554,0.028946184,-0.0037911648,-0.012041523,-0.015346607,-0.036787152,-0.051460706,-0.034945183,-0.07049235,-0.03285067,-0.0053806026,-0.035663825,-0.047173657,-0.044176023,-0.015745826,-0.0103281,-0.004364112,-0.002847931,-0.036995836,-0.036332402,-0.01263834,-0.0147916,-9.009205E-4,0.006419599,0.02699716,0.02117192,-0.014593407,-0.0035484452,-0.002607244,-0.013245864,-0.027174754,-0.008398453,-0.05182088,-0.012061361,0.022729697,-0.010330011,0.009163399,-0.036550686,0.020199642,-0.029044785,-0.03409018,-0.02325861,-0.015758833,-0.024265075,-0.025477698,0.045359317,0.010582261,0.0041585453,0.010364522,0.026068304,0.053160634,-0.014025778,-0.026116287,-0.034742128,0.0016854777,-0.038015787,0.06037396,0.012021346,-0.024655633,-0.054130927,0.012220522,0.029684529,0.032460593,0.0067140167,0.07196827,-0.021149043,0.03323462,-0.09828909,0.00935235,0.016705662,0.024009436,0.019552696,-0.010140959,0.0102120815,-1.5314156E-4,0.052721035,-0.03173161,-0.031418238,-0.0048471545,0.005905582,0.013156833,0.048459247,0.0287697,-0.040138002,-0.067351915,0.02544828,0.052108828,-0.05188434,0.023108458,-0.040276673,0.025106106,7.72098E-4,0.0136263445,-0.0035375087,-0.023407908,0.04013905,-0.016069349,-0.06154231,0.0046529556,0.014654853,-0.046209376,-0.04157912,-0.018948004,-0.009537258,0.012350502,-0.02482138,0.018429413,-0.014829825,0.03882116,-0.0122552635,0.0038563195,0.043763936,-0.0074199126,0.020971172,0.042704433,-0.014738705,-0.020136379,0.018269265,-0.011755742,7.6371577E-4,-0.050160583,-0.031622082,-0.019341428,0.03674594,0.0652288,-0.035687555,-0.023937304,-0.048547797,0.00950952,0.027885715,0.0041850684,-0.005797954,0.04850837,-0.04551688,0.030163018,0.014884107,0.039530654,0.037889417,0.020293983,-0.030459471,0.035040867,-0.0011920608,-0.03129183,-0.007991604,0.0037301786,-0.01829826,-0.007917847,-0.010663926,-0.05301556,-0.047134478,-0.007896433,0.009699496,0.0016531093,-0.013351106,0.01332259,0.042888306,-0.017704053,0.046278358,0.003934961,0.053632807,-0.021940516,-0.047600467,0.009829634,-0.043423824,-0.0197875,0.034402825,-0.017792184,-0.047538083,0.03753637,0.027621875,0.029860664,-0.0029760043,-0.03289207,-0.020216502,0.042667434,0.032138746,0.031133592,0.010059501,0.03583826,0.003176493,-0.008754008,-0.006703285,-9.128559E-4,-0.008921291,0.029702732,0.058065526,-0.021692688,-0.023478527,0.03782405,0.013464824,-0.038727958,-0.0025408284,0.016960239,-0.014835025,-0.007274608,-0.024510207,0.036949452,0.06102264,0.0068059703,-0.03164357,-0.004200502,-0.0036480995,-0.00888743,0.021097086,-0.03331727,0.05225619,0.011788353,-5.0779036E-4,0.008338271,-0.012559484,-0.042972617,-0.009665369,-0.026988113,-0.051398456,-0.021112237,0.014825586,-0.04213776,0.03864633,0.027988156,0.014739093,0.015927589,-0.045665015,0.005144373,-0.003100162,-0.03608259,-0.0511713,-0.029044203,0.0111009125,0.015106485,0.021812001,-0.02292277,-0.027684337,-0.016050354,0.01419635,0.014778946,0.020547403,0.0019602587,0.051191807,-0.024112394,0.007296779,0.044930708,0.026494484,-0.051433343,-0.029894639,-0.01724183,0.03109126,-0.0137161445,-0.0153158745,-0.03486382,-0.008296081,-0.020034049,-0.021281179,-0.009409463,0.011851616,0.014082265,0.042811263,-0.0017750121,-0.024196828,0.018590719,-0.015021498,0.024540653,0.010308505,0.012250166,0.04916647,-0.030189473,-0.0070173717,0.018175503,0.016999448,-0.030759608,0.03296913,-6.889231E-5,0.009313135,-0.016590917,0.013774896,0.04091525,0.010427929,-0.021685932,-0.018012216,0.019733066,0.025850093,0.020329094,0.047867972,0.029236212,-0.010910723,0.007294532,0.025231063,-0.00650878,0.014600266,-0.008790459,-8.361987E-4,-0.01106083,-0.007887024,0.028330807,0.004916537,-0.013398063,0.004253024,0.0038169192,0.0052496404,-0.02425081,0.055743743,-0.025893612,-0.030404547,0.035006657,-0.001202817,-0.002316492,0.06259807,0.021256316,0.0072886855,-0.017795108,0.03155634,-0.012602051,-0.046460666,-0.014920311,-0.03066899,-0.06756169,0.02784456,-0.038179465,0.024351977,0.038362894,-0.032893512,-0.0063629844,-0.019440828,-0.033069246,-0.049920443,-0.008958092,0.012712888,-0.026174834,-0.034505133,0.004102444,-0.006684153,1.4893776E-4,0.0114742825,0.036739506,-0.027695548,0.01593279,0.06984267,-0.0060974145,-0.01803873,-0.071597785,-0.033265002,-0.016266525,-0.016236013,-0.03764196,0.035754316,-0.026948296,-0.042624295,0.009068081,0.07778809,0.021351438,-0.032366272,-0.0032748007,-0.028534064,-0.030272866,0.006018074,-5.2531564E-4,0.045625895,0.0010863012,-0.06049819,0.03901277,-0.012954737,0.011419657,-0.06612477,0.01668543,-0.036680654,-0.02138102,0.024007248,-0.035962034,0.022209547,-0.0039430344,-0.03684053,-0.04530977,0.0030958646,0.03852914,0.0031747886,0.026755963,-0.019477736,0.00473516,0.045730345,0.0077887685,-0.016840853,0.03826011,0.0228041,-0.015493442,-0.022631677,-0.038996436,0.016286062,0.034436848,-0.046314977,0.0024359538,0.0062320824,-0.042614087,-0.054250006,-0.0032951287,-0.008675918,0.009042455,-0.036866836,-0.04429415,0.013655905,-0.06587557,-0.0013342127,-0.024219964,0.024890993,0.010544744,-0.0038566876,0.012771466,-0.037928216,0.28495595,0.053225074,0.0011114778,-0.017036477,-0.05751592,0.07046686,0.038144425,-0.011400134,0.012988684,0.028853128,-0.0067273187,-0.021680303,-0.019400842,0.008660224,0.061341763,0.060390774,0.0072101457,0.029387293,0.037483584,-0.0349072,-0.052751675,0.0578323,0.028733565,0.016622547,0.026776485,0.0032799416,-0.012306098,-8.442733E-4,-0.025786662,-0.016671127,-0.0036614693,-0.031258617,0.009387088,-0.023778532,-0.022740034,0.0033831557,-0.0359614,-0.029236777,0.014825207,0.0121279815,0.015191541,-8.1020314E-4,0.035706703,-0.040528495,-0.002675323,0.06228959,-0.007967105,0.010189314,0.043895423,-0.047708407,0.017570613,-0.024889302,0.011135328,-0.045762494,-0.04612854,-0.007947063,0.02145852,-0.027826661,0.013437972,-0.025120247,0.041336868,-0.036795564,-0.011487691,-0.004144286,-0.09108256,0.051504843,0.04683931,-0.006475882,-0.04034824,-0.037548326,-0.0012121237,-0.024782138,-0.037902974,-0.03917158,-0.0019186364,0.026936868,-0.015289907,-0.009561211,0.015304861,0.01694087,0.00495916,0.009995021,0.017255269,0.028005745,0.015973208,0.060146354,-0.009975143,0.00746606,-0.050286967,0.05389301,0.03861987,0.011753712,-7.6793385E-4,-0.008543596,0.0022975388],""city"":""Baška""}"
"484","[""__Entity__"",""Location""]","{""id"":""Krk landscapes""}"
"485","[""__Entity__"",""Person"",""Group""]","{""id"":""family member""}"
"486","[""__Entity__"",""Boundary""]","{""id"":""lines strewn above the landscape""}"
"487","[""__Entity__"",""Location""]","{""id"":""starting point""}"
"488","[""__Entity__"",""Speed""]","{""id"":""up to 80 kilometres per hour""}"
"489","[""__Entity__"",""Transportation""]","{""id"":""jeep ride""}"
"490","[""__Entity__"",""Location"",""Boundary""]","{""id"":""treeline""}"
"491","[""__Entity__"",""Tour""]","{""id"":""famous canopy tour""}"
"492","[""__Entity__"",""Duration""]","{""id"":""just short of two hours""}"
"493","[""__Entity__"",""Path""]","{""id"":""A letter monolith Glagolitic path""}"
"494","[""__Entity__"",""Adventure""]","{""id"":""unforgettable adventure""}"
"495","[""__Entity__"",""Tour"",""Adventure""]","{""id"":""canopy tour""}"
