input,output
"Brač | see | Pustinja Blaca | 1551, 2007","A former monastery originating from 1551, now a museum run by two brothers. In the 2007 the hermitage was included in the UNESCO World Heritage Tentative List."
"Plitvice Lakes National Park | do | Upper Lakes | Proscansko, Kozjak, Kozjak","A series of smaller lakes and waterfall cascades between Proscansko lake and Kozjak lake. Numerous walking trails lead visitors around the lakes. The lakes can be reached from Entrance 2 by crossing Kozjak lake with a ferry, which is included in the admission fee. Alternatively, a shuttle bus can be taken to the highest lake and then descended back to the ferry terminal by foot to avoid the climb. There are good indications of walking trails in the park, so a map is not necessary."
"Plitvice Lakes National Park | do | Lower Lakes | Kozjak, The Lower Lakes, Kozjak, Veliki Slap, Kaluderovac","A series of lakes below Kozjak lake, carved out in a canyon. Walking trails lead visitors around and over the lakes. The Lower Lakes can be reached from Entrance 1, or from Entrance 2 after traversing Kozjak lake by ferry, which is included in the admission fee of the park. The largest waterfall (Veliki Slap) can be found near Kaluderovac lake."
Plitvice Lakes National Park | do | Šupljara cave | Gavanovac,"A cave system between Gavanovac lake and Kaluderovac lake. Stairs are carved out into the rocks, allowing visitors to ascend up to the canyon ridges, or descend down to the hiking trails along the waterfront. The stairs are moist and steep, so good walking shoes are required. Not recommended for children."
"Plitvice Lakes National Park | do | Plitvička Jezera Boat Rental | Kozjak, the National Park, Kozjak","Rental service for wooden rowing boats, 60 kn per hour. Visitors can explore Kozjak lake and its numerous waterfalls from the water front. Fresh water snakes can often be found sunbathing on tree trunks along the water. Note that it is not allowed to swim or fish in the National Park. Although it is possible to cross Kozjak lake, the boats must be returned to the pier where they are rented."
"Plitvice Lakes National Park | do | Ski Center Mukinje | winter, the Ski Center of Mukinje","In winter, the Ski Center of Mukinje is open, offering skiers 3 slopes with a total length of 1 km. Primarily targeted at beginners, the lift is located in the center of the town. Ski equipment can be rented locally."
"Plitvice Lakes National Park | drink | Robni Centar | Croatia, JANA","Supermarket selling a variety of drinks, cooled and uncooled. The most common bottled water of Croatia is JANA, available as mineral water or in many flavored versions. Around 5 - 10 kn per bottle."
"Plitvice Lakes National Park | eat | Bistro Vučnica | Mukinje, a 15 minute","Mid-range restaurant in the center of Mukinje, on a 15 minute walk from park entrance 2. Large selection of fresh pizzas for 60 - 90 kn. The largest pizza size is meant for 2 to 3 people. Indoor and outdoor seating available."
Plitvice Lakes National Park | eat | Robni Centar | Mukinje,"Supermarket selling drinks, energy bars, croissants and local pastries for breakfast or lunch, or bread and a wide variety of toppings. Fair prices. Conveniently located on the shortcut path leading from Mukinje to Entrance 2 of the park."
Plitvice Lakes National Park | sleep | Guesthouse Bor | Mukinje,"A small guest house in the center of Mukinje, next to the skiing facilities and the only bistro of the town."
Plitvice Lakes National Park | sleep | Miric Inn | ,"A small inn, offering mid-range lodging. A bus connection leads to the entrances of the park."
Plitvice Lakes National Park | sleep | Cvetkovic Camping | 10 minutes,Camp site 10 minutes from the park entrance. A bus stop at the main road takes guests to the park entrance.
"Pula | see | Arena | Roman, Venetians, Venice, Venetian, Pula, Colosseum","The 6th largest surviving Roman amphitheatre. Towering over the nearby buildings this huge structure was barely saved from destruction several times during its life, mostly by various Venetians with plans to take it to Venice stone by stone as demonstration of the might of the Venetian empire. Many stones were taken to build houses and other structures around Pula, but fortunately this practice was stopped before the whole structure was destroyed. Entry gives you access to wander the inside of the Colosseum and visit the caverns beneath. The audio tour is very worthwhile."
"Pula | see | The Forum | Roman, the 10th century, the Temple of August, the first century","The ""Forum"" is the main square in the centre of the city. The square is built on the site of the ancient Roman forum. On the square there is a city hall that was built in the 10th century (parts of an old temple were used for the building as it can be seen on the rear side of the hall) and the Temple of August, from the first century."
Pula | sleep | Hostel Pipištrelo | Pula,"Located in the centre of Pula, close to the main town square forum, the rooms are individual mini art galleries and the whole hostel is a design project bursting with spirit."
"Pula | sleep | Pula Art Hostel | Pula, Cable TV","Small, family-run, newly refurbished art hostel in the centre of Pula. This hostel offers 2 fully equipped kitchens and beds for couples; grill on  terrace; Free Wi-Fi; 24h access; Cable TV."
Pula | sleep | Youth Hostel | Zlatne Stijene,"And youth camp. Not such a nice looking place, but it is situated some ten meters from the beach, so you can almost jump directly from your bedroom right into the sea. (To get there, take bus 2a from the city (3a to return) and get off at Zlatne Stijene then follow the signs.)"
Pula | sleep | Villa Mihaela | SAT TV,"3 apartments for 2-4 persons.Each of the apartments has a parking lot, and is equipped with air conditioner, SAT TV, and all other appliances that will make your stay pleasant."
"Pula | sleep | Apartments Alexandra & Erika | Brijuni Islands, 2004, Štinjan, only a few kilometres, Pula, SAT TV","Attractive apartments in the proximity of the well known Brijuni Islands national park. A quiet place in a family house, built in 2004. in Štinjan only a few kilometres away from the centre of Pula. Air-con, SAT TV, fridge with freezer, kitchen with all the accessories, cooking stove (electricity+gas), washing machine, balcony."
"Pula | sleep | Apartments with Swimming pool Slivar | Pula, SAT TV","3 modern fully equipped apartments for 2-6 persons in a calm part of Pula 150m from the sea and 3km from the beach. The spacious swimming pool in situated in our award winning garden (over 1500m2). Our apartments feature: SAT TV, microwave owen, coffee machine, and two apartments also offer a  wash machine and air condition. We also offer free of charge the use of grill and bikes and a save place"
Pula | sleep | Amfiteatar Hotel | just 12 minutes,"Small modern hotel with en suite, flat screen TV, A/C, free Wi-Fi and a top class restaurant. Conveniently situated for bus, rail and ferry, just 12 minutes from the airport."
"Split | other | Kolodvor Sukoišan | Split-Dalmatia county, Splitsko-dalmatinska, Trogir, Solin",It is the main hub for local buses as well as for destinations around Split-Dalmatia county (Splitsko-dalmatinska županija) like Trogir and Solin.
Split | other | Tickets | ,Are available at kiosks across the city or from a bus driver (only single-journey). Tickets must be validated on board by a yellow machine or given to the driver for validation.
Split | drink | Hemingway Bar | ,Extremely fancy club.
Split | drink | Quasimodo | ,Rock and underground music. Mostly full with local alternatives.
Split | sleep | Adria Hostel | the Adriatic Sea,Right next to the Adriatic Sea.
"Split | sleep | Al's Place | Split, British, Al, Split, 800-year old","A great hostel (and the first in Split) run by a British expat named Al, a guy who is passionate about travel and wants his guests to get the most from their stay in Split. He even goes out for a beer with guests sometimes. The hostel is in an 800-year old stone house inside the city walls, small and cozy with only 12 beds in 2 ensuite rooms. There is also kitchen (for guests), and common area, A/C, and laundry."
Split | sleep | CroParadise Split Hostel | LCD,LCD televisions and computers with free internet access in every room.
Split | sleep | Guesthouse Split | Free WiFi,"Free WiFi, private rooms available"
Split | sleep | Hostel Split Mediterranean House | ,The hostel has been built into an old stone house just outside of the historical centre. Free wifi.
Split | sleep | Old Town Hostel | ,"Free wifi, 1 shared computer, flat screen TV with a collection of movies."
Split | sleep | Pletkovic Hostel | ,
Split | sleep | Silver Central Hostel | ,
Split | sleep | SilverGate Hostel | ,
Split | sleep | Situs Hostel | ,
Split | sleep | Guesthouse Vrlic | ,
Split | sleep | Hotel Atrium | ,
Split | sleep | Hotel Dalmina | ,
Split | sleep | Hotel Globo | ,
Split | sleep | Hotel Luxe | ,
Split | sleep | Hotel Park | ,
Split | sleep | Hotel Peristil | ,
Split | sleep | Hotel San Antonio | ,54 rooms and 3 suites.
Split | sleep | Hotel Vestibul Palace | ,
Split | sleep | Le Méridien Lav | ,
Split | sleep | Marmont | ,
Split | sleep | Radisson Blu | ,
Split | sleep | Villa Varos Hotel Split | ,
Split | sleep | Rva Apartments | Split Bay,On the 'Riva' waterfront promenade with south-facing views of Split Bay.
Split | other | DenCall internet-Split | Mbit,"17 computers, connection speed: 1,5 Mbit, printing b/w, camera to CD/usb transfer, call centre,  international calling cards, rent-a-bike, luggage storage."
Vis | eat | Limoncello | Mediterranean,The restaurant has its tables in a charming garden plenty of a Mediterranean mood. Fish is excellent and the dishes cooked on wooden fire are so tasty that is difficult to tell. The choice is also good compared to other places on the island. A must.
Vis | eat | Kantun | ,"Very popular restaurant with the atmosphere of a fisherman house. Very good for ""occasions"". Reservation needed."
Vis | eat | Barba | Komiza,Nice restaurant in Komiza with food cooked on wooden fire.
"Vis | eat | Jastozera | Pricey, Komiza",Pricey lobster house in the town of Komiza.
Vis | eat | Bako | Komiza,"Very cosy place in the town of Komiza. Food is quite good, prices are in the averace. The terrace is really nice, so close to the sea that you can really feel it."
"Vis | eat | Plaza | Komiza, Komiza","is one of the best, and cheapest!, pizzeria in the town of Komiza. It is located in the town of Komiza near the hotel and the main beach. Prices are around 70 kuna for a meal and the food is rather good."
"Vis | eat | Dionis | Italian, Dalmatian",serves great Italian and Dalmatian food at reasonable prices. Try the calamari risotto!
Vis | eat | Kolderaj | ,is a small bakery at the coast where you can get coffee and tea as well.
"Zadar | other | Zračna luka Zadar | Croatia Airlines, Ryanair, season","The airport shares its airfield with military. It used to be a civic road crossing its taxi lanes, so the traffic was regulated by lifting gates, but it doesn't seem the case anymore. Nevertheless it's an international airport with flights by Croatia Airlines, Eurowings, Ryanair, and few others; various charters in season."
Zadar | other | Airport shuttle | ,The bus runs to the city's bus station and then continues up to the bus hub at the old town.
Zadar | eat | Hungry Eyes | Specialized,"Specialized in grilled meat and fish. Large portions, fast service, competitive prices. Suitable for large groups and lunch or dinner with kids. Outside the old town, reachable by public transport (bus 8 Diklo - Kolodvor)."
Zadar | eat | Mijo | Italian,"Italian restaurant specialized in sea food, pizzas and pasta. Outside the old town, but close to a Borik. A romantic restaurant offering dining inside and outside, great for couples but not for families with kids. Large portions for fair prices."
"Zadar | drink | Cocktail Bar Mango | the early evening, the busy summer months","Lounge bar with a view over the bay. Large selection of alcoholic and non-alcoholic drinks. Comes to life in the early evening, only during the busy summer months."
"Zadar | drink | The Garden | Bedemi, James Brown, Garden","''Bedemi zadarskih pobuna'', ]. A fancy open bar with a lovely view over the harbour, opened by UB40 drummer James Brown. The Garden also hosts an annual electronic music festival."
"Zadar | drink | The Arsenal | Bunara, A 17th century, Venetian Naval Warehouse, Restaurant-Bar-Club","Trg tri Bunara. A 17th century. Venetian Naval Warehouse, now a cool Restaurant-Bar-Club."
Zadar | sleep | Hotel Kolovare | ,The only hotel close to the city center.
Zadar | sleep | Youth Hostel | ,Friendly.
Zadar | sleep | Hotel Adriatic | ,"3 star designer hotel, great pool."
Zadar | sleep | Hostel Ljepotica | ,friendly
"Zadar | sleep | Falkensteiner Hotel & Spa | Falkensteiner Hotel &Spa, Zadar, Punta, Salka","Falkensteiner Hotel &Spa is a five star hotel, located north of Zadar in Punta Salka peninsula."
Zagreb | other | Turistički informativni centar | ,
Zagreb | other | Zračna luka Zagreb | ,The 2nd terminal is under construction.
"Zagreb | other | Pleso prijevoz | 07:00, every 30 minutes, between 08:00 and 20:00, these hours, Croatia Airlines, between 04:30 and 20:30","Buses leave the airport at 07:00 and every 30 minutes between 08:00 and 20:00. Beyond these hours, there are buses leaving for the bus station every time a Croatia Airlines plane lands. In the opposite direction, from the bus station towards the airport, the buses are scheduled between 04:30 and 20:30. A journey takes approx. 30 min."
"Zagreb | other | Autobusni Kolodvor Zagreb | AKZ, Croatian, International, European",Timetable information and prices can be found at the AKZ website. Numerous Croatian and International coach operators maintain scheduled lines covering all major domestic and European cities.
Zagreb | other | Left luggage | ,
"Zagreb | other | Zagreb Glavni kolodvor | European, Vienna, 6 hours, Budapest, 6.5 hours, HUF, Zurich, Munich, Salzburg, Ljubljana, Sarajevo, Belgrade, Dubrovnik, all-year-round, Zagreb, Split, 6 hours","There are direct services to major European cities such as Vienna (6 hours), Budapest (6.5 hours, one way approx. 9,000 HUF), Zurich, Munich, Salzburg, Ljubljana, Sarajevo (one-way ticket costs 59 BAM), Belgrade as well as domestic services to all major towns (except Dubrovnik). There is also an all-year-round overnight train (with sleeping compartments) between Zagreb and Split (6 hours)."
"Zagreb | see | Zagreb Cathedral | The Zagreb Cathedral, 1217, 1906, Hermann Bollé",The Zagreb Cathedral with its twin spires is the most well known landmark of the city. The original cathedral dates back to 1217 but the present structure dates back to 1906. The chief architect was Hermann Bollé.
"Zagreb | see | St. Mark's Square | St. Mark's, Square, St. Mark's, Croatia, Zagreb, St. Mark's, 1499","Located at the centre of St. Mark's Square, St. Mark's Church is known for its colourful roof tiles depicting the coat of arms of Croatia and Zagreb. St. Mark's Church was constructed in 1499."
Zagreb | see | St. Catherine's Church | ,Baroque style church
"Zagreb | see | Old Town Gate | Kamenita, Gate, Mary, St. George, the Croatian National Theatre","now a shrine to virgin Mary - the '''""Kamenita vrata""''' where you can light a candle and, as the locals believe, your wish will be granted. Please be silent, even if just passing through the Gate. The portrait of Mary is said to be sacred, because it is the only thing that survived the large fire. Near the Old Town Gate is the sculpture of St. George having slain the dragon. The other statue, him fighting the dragon, is located on the Marshal Tito's Square near the Croatian National Theatre (roughly 1 km away)."
"Zagreb | see | Ribnjak Park | Ribnjak, Bishop","the Ribnjak is an English-style park complete with exotic plants, sculptures, and a children's playground. The park was originally the site of Bishop's fish pond."
"Zagreb | see | Museum of Broken Relationships (Muzej prekinutih veza) | Museum's, Kenneth Hudson Award 2011, Europe",What remains after a break-up? Museum's permanent display is an opportunity to experience a unique emotional journey through dozens of love leftovers collected from all around the world. Museum is also the winner of Kenneth Hudson Award 2011 for the most innovative museum in Europe.
"Zagreb | see | Klovićevi Dvori Gallery | Jesuit, Croatian","This gallery in the old Jesuit monastery with changing exhibitions introduces Croatian and foreign cultural and artistic heritage across all eras. In most exhibitions, photography without flash is permitted."
"Zagreb | see | Strossmayer Square | Josip, Juraj Strossmayer, Roman Catholic Bishop, Strossmayer Square, the Lenuci Horseshoe","Named after Josip Juraj Strossmayer, politician and Roman Catholic Bishop, the Strossmayer Square occupies the central position of the eastern wing of the Lenuci Horseshoe."
"Zagreb | see | Zrinjevac Square | Academy, Zrinjevac, Tomislav",the park of the Academy (connecting the Zrinjevac and Tomislav parks).
"Zagreb | see | King Tomislav Square | Tomislav Square, Glavni Kolodvor, Zagreb, Tomislav",King Tomislav Square is the square overlooking the main railway station (Glavni Kolodvor ) of Zagreb. Decorated with floor beds and fountains and lined with trees it is dominated by a horse mounted statue of King Tomislav.
Zagreb | see | Botanical Gardens | ,
"Zagreb | see | Mažuranić Square | Lenuci Horseshoe, Croatian, Ivan Mažuranić",The central square of the western wing of Lenuci Horseshoe. It is named after Croatian poet Ivan Mažuranić
"Zagreb | see | Marulić Square | South Western, Lenuci Horseshoe, the Croatia State Archive, Marko Marulić",Marulić Square is the South Western square of Lenuci Horseshoe. It houses the Croatia State Archive. It also has a statue of Marko Marulić.
